Brookvale,"$672,500.00"
Bundeena,"$750,000.00"
Burraneer,"$1,700,000.00"
Burwood,"$793,500.00"
Burwood Heights,"$1,441,000.00"
Busby,"$566,900.00"
Abbotsbury,"$940,500.00"
Abbotsford,"$850,000.00"
Alexandria,"$722,250.00"
Alfords Point,"$1,151,000.00"
Allambie Heights,"$1,285,000.00"
Allawah,"$661,975.00"
Annandale,"$1,210,000.00"
Arcadia,"$1,505,000.00"
Arncliffe,"$685,900.00"
Artarmon,"$883,000.00"
Ashbury,"$1,310,000.00"
Ashcroft,"$580,000.00"
Ashfield,"$740,000.00"
Asquith,"$1,030,000.00"
Auburn,"$594,000.00"
Austral,"$1,040,000.00"
Avalon Beach,"$1,070,000.00"
